* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A)  NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which Infineon disclaims to the maximum extent permitted by applicable law; and
* (B)  NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* LIMITATION OF LIABILITY:  IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR 
Defect_short_605,VDDa_pulsed,I83.I7.net020,I83.I7.I33.ptrans10,pana,s,g
Defect_short_606,VDDa_pulsed,I83.I7.net050,I83.I7.I143.ptrans10,pana,s,d
Defect_short_607,VDDa_pulsed,I83.I7.net050,I83.I7.I107.ptrans16,pana,s,g
Defect_short_608,VDDa_pulsed,I83.I7.net017,I83.I7.I49.ptrans10,pana,s,d
Defect_short_609,VDDa_pulsed,I83.I7.net017,I83.I7.I146.ntrans11,nana,g,d
Defect_short_610,VDDa_pulsed,I83.I7.I118.net031,I83.I7.I118.ptrans15,pana,s,d
Defect_short_611,VDDa_pulsed,I83.I7.I118.net031,I83.I7.I118.P0_turbo_m2,pana,d,g
Defect_short_612,VDDa_pulsed,I83.I7.I118.net031,I83.I7.I118.P10,pana,s,g
Defect_short_613,VDDa_pulsed,I83.I7.I119.net031,I83.I7.I119.ptrans15,pana,s,d
Defect_short_614,VDDa_pulsed,I83.I7.I119.net031,I83.I7.I119.P0_turbo_m2,pana,d,g
Defect_short_615,VDDa_pulsed,I83.I7.I119.net031,I83.I7.I119.P10,pana,s,g
Defect_short_616,VDDa_pulsed,I83.I7.I136.net39,I83.I7.I136.ptrans25,pana,s,g
Defect_short_617,VDDa_pulsed,I83.I7.I136.net39,I83.I7.I136.ptrans24,pana,s,d
Defect_short_618,VDDa_pulsed,I83.I7.I136.net39,I83.I7.I136.ptrans23,pana,s,d
Defect_short_619,VDDa_pulsed,I83.I7.I137.net39,I83.I7.I137.ptrans25,pana,s,g
Defect_short_620,VDDa_pulsed,I83.I7.I137.net39,I83.I7.I137.ptrans24,pana,s,d
Defect_short_621,VDDa_pulsed,I83.I7.I137.net39,I83.I7.I137.ptrans23,pana,s,d
Defect_short_622,VDDa_pulsed,I83.I7.I106.net27,I83.I7.I106.ptrans16,pana,s,d
Defect_short_623,VDDa_pulsed,I83.I7.I107.net27,I83.I7.I107.ptrans16,pana,s,d
Defect_short_624,VDDa_pulsed,I83.I7.I94.net24,I83.I7.I94.ptrans15,pana,s,d
Defect_short_625,VDDa_pulsed,I83.I7.I94.net24,I83.I7.I94.ptrans14,pana,s,g
Defect_short_626,I83.net16,I83.net11,I83.I68.I8.ptrans38,pana,g,d
Defect_short_627,I83.net16,I83.net11,I83.I68.I7.ptrans38,pana,d,g
Defect_short_628,I83.net16,I83.I137.net39,I83.I137.ntrans21,nana,g,d
Defect_short_629,I83.net16,I83.I137.net39,I83.I137.ptrans24,pana,g,d
Defect_short_630,I83.net16,I83.I137.net32,I83.I137.ntrans21,nana,g,s
Defect_short_631,I83.net16,I83.I68.net14,I83.I68.I7.ntrans35,nana,d,g
Defect_short_632,I83.net16,I83.I68.net14,I83.I68.I7.ptrans37,pana,d,g
Defect_short_633,I83.net16,I83.I68.net17,I83.I68.I3.ntrans35,nana,g,d
Defect_short_634,I83.net16,I83.I68.net17,I83.I68.I3.ptrans37,pana,g,d
Defect_short_635,I83.net16,I83.I68.I8.net25,I83.I68.I8.ntrans36,nana,g,d
Defect_short_636,I83.net16,I83.I68.I7.net25,I83.I68.I7.ntrans35,nana,d,s
Defect_short_637,I83.net16,I83.I68.I3.net25,I83.I68.I3.ntrans35,nana,g,s
Defect_short_638,I83.enable,I83.disable,I83.I6.ntrans11,nana,d,g
Defect_short_639,I83.enable,I83.disable,I83.I6.ptrans10,pana,d,g
Defect_short_640,I83.enable,I83.net062,I83.I63.ntrans35,nana,g,d
Defect_short_641,I83.enable,I83.net062,I83.I63.ptrans37,pana,g,d
Defect_short_642,I83.enable,I83.I137.net39,I83.I137.ptrans23,pana,g,d
Defect_short_643,I83.enable,I83.I137.net32,I83.I137.ntrans20,nana,g,d
Defect_short_644,I83.enable,I83.I136.net39,I83.I136.ptrans23,pana,g,d
Defect_short_645,I83.enable,I83.I136.net32,I83.I136.ntrans20,nana,g,d
Defect_short_646,I83.enable,I83.I63.net25,I83.I63.ntrans35,nana,g,s
Defect_short_647,I83.enable,I83.I7.disable,I83.I7.I92.ntrans11,nana,g,d
Defect_short_648,I83.enable,I83.I7.disable,I83.I7.I92.ptrans10,pana,g,d
Defect_short_649,I83.enable,I83.I7.I94.net24,I83.I7.I94.ntrans13,nana,g,d
Defect_short_650,I83.enable,I83.I7.I94.net24,I83.I7.I94.ptrans15,pana,g,d
Defect_short_651,I83.net023,I83.net024,I83.I49.ntrans11,nana,g,d
Defect_short_652,I83.net023,I83.net024,I83.I49.ptrans10,pana,g,d
Defect_short_653,I83.net023,I83.net056,I83.I47.ntrans11,nana,g,d
Defect_short_654,I83.net023,I83.net056,I83.I47.ptrans10,pana,g,d
Defect_short_655,I83.net023,I83.I137.net39,I83.I137.ntrans22,nana,d,g
Defect_short_656,I83.net023,I83.I137.net39,I83.I137.ptrans25,pana,d,g
Defect_short_657,I83.net11,I83.I136.net39,I83.I136.ntrans21,nana,g,d
Defect_short_658,I83.net11,I83.I136.net39,I83.I136.ptrans24,pana,g,d
Defect_short_659,I83.net11,I83.I136.net32,I83.I136.ntrans21,nana,g,s
Defect_short_660,I83.net11,I83.I68.net13,I83.I68.I8.ntrans35,nana,d,g
Defect_short_661,I83.net11,I83.I68.net13,I83.I68.I8.ptrans37,pana,d,g
Defect_short_662,I83.net11,I83.I68.net18,I83.I68.I105.ntrans35,nana,g,d
Defect_short_663,I83.net11,I83.I68.net18,I83.I68.I105.ptrans37,pana,g,d
Defect_short_664,I83.net11,I83.I68.I8.net25,I83.I68.I8.ntrans35,nana,d,s
Defect_short_665,I83.net11,I83.I68.I7.net25,I83.I68.I7.ntrans36,nana,g,d
Defect_short_666,I83.net11,I83.I68.I105.net25,I83.I68.I105.ntrans35,nana,g,s
Defect_short_667,I83.net028,I83.net026,I83.I38.ntrans11,nana,g,d
Defect_short_668,I83.net028,I83.net026,I83.I38.ptrans10,pana,g,d
Defect_short_669,I83.net028,I83.net061,I83.I37.ntrans11,nana,g,d
Defect_short_670,I83.net028,I83.net061,I83.I37.ptrans10,pana,g,d
Defect_short_671,I83.net028,I83.I136.net39,I83.I136.ntrans22,nana,d,g
Defect_short_672,I83.net028,I83.I136.net39,I83.I136.ptrans25,pana,d,g
Defect_short_673,I83.net060,I83.I11.net011,I83.I11.I5.ntrans11,nana,d,g
Defect_short_674,I83.net060,I83.I11.net011,I83.I11.I5.ptrans10,pana,d,g
Defect_short_675,I83.vth_h,I83.vth_l,I83.R7,resistor,1,2
Defect_short_676,I83.vth_h,I83.I11.net012,I83.I11.M5,nana,g,d
Defect_short_677,I83.vth_h,I83.I11.net11,I83.I11.M5,nana,g,s
Defect_short_678,I83.net059,I83.I69.net011,I83.I69.I5.ntrans11,nana,d,g
Defect_short_679,I83.net059,I83.I69.net011,I83.I69.I5.ptrans10,pana,d,g
Defect_short_680,I83.vth_l,I83.I69.net11,I83.I69.M4,nana,g,s
Defect_short_681,I83.vth_l,I83.I69.net018,I83.I69.M4,nana,g,d
Defect_short_682,I83.err,I83.I62.net26,I83.I62.ntrans25,nana,d,g
Defect_short_683,I83.err,I83.I62.net26,I83.I62.ptrans22,pana,d,g
Defect_short_684,I83.err,I83.I5.net26,I83.I5.ntrans26,nana,g,d
Defect_short_685,I83.err,I83.I5.net41,I83.I5.ptrans23,pana,g,d
Defect_short_686,I83.disable,I83.gate,I83.I9.M6,nana,g,d
Defect_short_687,I83.disable,I83.vref,I83.M35,nana,g,d
Defect_short_688,I83.disable,I83.vref,I83.M2,pana,g,d
Defect_short_689,I83.disable,I83.I5.net26,I83.I5.ntrans25,nana,d,g
Defect_short_690,I83.disable,I83.I5.net26,I83.I5.ptrans22,pana,d,g
Defect_short_691,I83.disable,I83.I8.net011,I83.I8.I92.ntrans11,nana,g,d
Defect_short_692,I83.disable,I83.I8.net011,I83.I8.I92.ptrans10,pana,g,d
Defect_short_693,I83.disable,I83.I9.net010,I83.I9.I64.ntrans11,nana,g,d
Defect_short_694,I83.disable,I83.I9.net010,I83.I9.I64.ptrans10,pana,g,d
Defect_short_695,I83.disable,I83.I9.net07,I83.I9.M2,pana,g,d
Defect_short_696,I83.net062,I83.net13,I83.I40.ntrans11,nana,g,d
Defect_short_697,I83.net062,I83.net13,I83.I40.ptrans10,pana,g,d
Defect_short_698,I83.net062,I83.I41.net24,I83.I41.ntrans13,nana,g,d
Defect_short_699,I83.net062,I83.I41.net24,I83.I41.ptrans15,pana,g,d
Defect_short_700,I83.net062,I83.I63.net25,I83.I63.ntrans35,nana,d,s
Defect_short_701,I83.net14,I83.I41.net24,I83.I41.ntrans12,nana,d,g
Defect_short_702,I83.net14,I83.I41.net24,I83.I41.ptrans14,pana,d,g
Defect_short_703,I83.net14,I83.I68.net7,I83.I68.I4.ntrans35,nana,g,d
Defect_short_704,I83.net14,I83.I68.net7,I83.I68.I4.ptrans38,pana,g,d
Defect_short_705,I83.net14,I83.I68.net7,I83.I68.I4.ptrans37,pana,g,d
Defect_short_706,I83.net14,I83.I68.net17,I83.I68.I3.ptrans38,pana,g,d
Defect_short_707,I83.net14,I83.I68.net18,I83.I68.I105.ptrans38,pana,g,d
Defect_short_708,I83.net14,I83.I68.I4.net25,I83.I68.I4.ntrans36,nana,g,d
Defect_short_709,I83.net14,I83.I68.I4.net25,I83.I68.I4.ntrans35,nana,g,s
Defect_short_710,I83.net14,I83.I68.I3.net25,I83.I68.I3.ntrans36,nana,g,d
Defect_short_711,I83.net14,I83.I68.I105.net25,I83.I68.I105.ntrans36,nana,g,d
Defect_short_712,I83.net072,I83.S0_n,I83.I35.ntrans11,nana,g,d
Defect_short_713,I83.net072,I83.S0_n,I83.I35.ptrans10,pana,g,d
Defect_short_714,I83.net072,I83.net031,I83.I33.ntrans11,nana,g,d
Defect_short_715,I83.net072,I83.net031,I83.I33.ptrans10,pana,g,d
Defect_short_716,I83.net072,I83.net031,I83.I31.ntrans11,nana,d,g
Defect_short_717,I83.net072,I83.net031,I83.I31.ptrans10,pana,d,g
Defect_short_718,I83.net072,I83.net056,I83.I48.ntrans11,nana,d,g
Defect_short_719,I83.net072,I83.net056,I83.I48.ptrans10,pana,d,g
Defect_short_720,I83.S0_n,I83.S0,I83.I30.ntrans11,nana,d,g
Defect_short_721,I83.S0_n,I83.S0,I83.I30.ptrans10,pana,d,g
Defect_short_722,I83.S0_n,I83.S0,I83.I27.ntrans11,nana,g,d
Defect_short_723,I83.S0_n,I83.S0,I83.I27.ptrans10,pana,g,d
Defect_short_724,I83.S0_n,I83.amp_out,I83.I8.I78.M3,pana,g,s
Defect_short_725,I83.S0_n,I83.gate,I83.I8.I13.M3,pana,g,d
Defect_short_726,I83.S0_n,I83.I8.net027,I83.I8.I78.M3,pana,g,d
Defect_short_727,I83.S0_n,I83.I8.net028,I83.I8.I13.M3,pana,g,s
Defect_short_728,I83.net031,I83.S0,I83.I34.ntrans11,nana,g,d
Defect_short_729,I83.net031,I83.S0,I83.I34.ptrans10,pana,g,d
Defect_short_730,I83.net031,I83.net024,I83.I57.ntrans11,nana,s,d
Defect_short_731,I83.net031,I83.net024,I83.I57.ptrans10,pana,s,d
Defect_short_732,I83.S0,I83.amp_out,I83.I8.I78.M4,nana,g,d
Defect_short_733,I83.S0,I83.gate,I83.I8.I13.M4,nana,g,s
Defect_short_734,I83.S0,I83.I8.net027,I83.I8.I78.M4,nana,g,s
Defect_short_735,I83.S0,I83.I8.net028,I83.I8.I13.M4,nana,g,d
Defect_short_736,I83.net033,I83.S1,I83.I20.ntrans11,nana,g,d
Defect_short_737,I83.net033,I83.S1,I83.I20.ptrans10,pana,g,d
Defect_short_738,I83.net033,I83.net030,I83.I17.ntrans11,nana,g,d
Defect_short_739,I83.net033,I83.net030,I83.I17.ptrans10,pana,g,d
Defect_short_740,I83.net033,I83.net030,I83.I18.ntrans11,nana,d,g
Defect_short_741,I83.net033,I83.net030,I83.I18.ptrans10,pana,d,g
Defect_short_742,I83.net033,I83.net026,I83.I56.ntrans11,nana,s,d
Defect_short_743,I83.net033,I83.net026,I83.I56.ptrans10,pana,s,d
Defect_short_744,I83.S1,I83.S1_n,I83.I23.ntrans11,nana,g,d
Defect_short_745,I83.S1,I83.S1_n,I83.I23.ptrans10,pana,g,d
Defect_short_746,I83.S1,I83.S1_n,I83.I24.ntrans11,nana,d,g
Defect_short_747,I83.S1,I83.S1_n,I83.I24.ptrans10,pana,d,g
Defect_short_748,I83.S1,I83.amp_out,I83.I8.I15.M4,nana,g,d
Defect_short_749,I83.S1,I83.gate,I83.I8.I12.M4,nana,g,s
Defect_short_750,I83.S1,I83.I8.net027,I83.I8.I12.M4,nana,g,d
Defect_short_751,I83.S1,I83.I8.net028,I83.I8.I15.M4,nana,g,s
Defect_short_752,I83.net030,I83.S1_n,I83.I19.ntrans11,nana,g,d
Defect_short_753,I83.net030,I83.S1_n,I83.I19.ptrans10,pana,g,d
Defect_short_754,I83.net030,I83.net061,I83.I46.ntrans11,nana,d,g
Defect_short_755,I83.net030,I83.net061,I83.I46.ptrans10,pana,d,g
Defect_short_756,I83.S1_n,I83.amp_out,I83.I8.I15.M3,pana,g,s
Defect_short_757,I83.S1_n,I83.gate,I83.I8.I12.M3,pana,g,d
Defect_short_758,I83.S1_n,I83.I8.net027,I83.I8.I12.M3,pana,g,s
Defect_short_759,I83.S1_n,I83.I8.net028,I83.I8.I15.M3,pana,g,d
Defect_short_760,I83.amp_out,I83.feedback,I83.C0,capacitor2,1
Defect_short_761,I83.amp_out,I83.I8.net027,I83.I8.I78.M4,nana,d,s
Defect_short_762,I83.amp_out,I83.I8.net027,I83.I8.I78.M3,pana,s,d
Defect_short_763,I83.amp_out,I83.I8.net028,I83.I8.I15.M4,nana,d,s
Defect_short_764,I83.amp_out,I83.I8.net028,I83.I8.I15.M3,pana,s,d
Defect_short_765,I83.amp_out,I83.I7.net0117,I83.I7.M11,pana,d,g
Defect_short_766,I83.amp_out,I83.I7.net070,I83.I7.M35,nana,s,d
Defect_short_767,I83.amp_out,I83.I7.net070,I83.I7.M2,pana,d,s
Defect_short_768,I83.amp_out,I83.I7.disable,I83.I7.M47,nana,d,g
Defect_short_769,I83.amp_out,I83.I7.net060,I83.I7.M51,nana,d,g
Defect_short_770,I83.amp_out,I83.I7.net033,I83.I7.M51,nana,d,s
Defect_short_771,I83.gate,I83.I8.net027,I83.I8.I12.M4,nana,s,d
Defect_short_772,I83.gate,I83.I8.net027,I83.I8.I12.M3,pana,d,s
Defect_short_773,I83.gate,I83.I8.net028,I83.I8.I13.M4,nana,s,d
Defect_short_774,I83.gate,I83.I8.net028,I83.I8.I13.M3,pana,d,s
Defect_short_775,I83.gate,I83.I9.net07,I83.I9.M1\<23\>_turbo_m24,nana,g,d
Defect_short_776,I83.net13,I83.I32.net7,I83.I32.I4.ntrans35,nana,g,d
Defect_short_777,I83.net13,I83.I32.net7,I83.I32.I4.ptrans38,pana,g,d
Defect_short_778,I83.net13,I83.I32.net7,I83.I32.I4.ptrans37,pana,g,d
Defect_short_779,I83.net13,I83.I32.net17,I83.I32.I3.ptrans38,pana,g,d
Defect_short_780,I83.net13,I83.I32.net18,I83.I32.I105.ptrans38,pana,g,d
Defect_short_781,I83.net13,I83.I32.I4.net25,I83.I32.I4.ntrans36,nana,g,d
Defect_short_782,I83.net13,I83.I32.I4.net25,I83.I32.I4.ntrans35,nana,g,s
Defect_short_783,I83.net13,I83.I32.I3.net25,I83.I32.I3.ntrans36,nana,g,d
Defect_short_784,I83.net13,I83.I32.I105.net25,I83.I32.I105.ntrans36,nana,g,d
Defect_short_785,I83.feedback,I83.I7.net049,I83.I7.I85.M4,nana,d,s
Defect_short_786,I83.feedback,I83.I7.net049,I83.I7.I85.M3,pana,s,d
Defect_short_787,I83.feedback,I83.I7.S0,I83.I7.I84.M4,nana,d,g
Defect_short_788,I83.feedback,I83.I7.S0_n,I83.I7.I84.M3,pana,s,g
Defect_short_789,I83.feedback,I83.I7.net063,I83.I7.I84.M4,nana,d,s
Defect_short_790,I83.feedback,I83.I7.net063,I83.I7.I84.M3,pana,s,d
Defect_short_791,I83.feedback,I83.I7.S1,I83.I7.I85.M4,nana,d,g
Defect_short_792,I83.feedback,I83.I7.S1_n,I83.I7.I85.M3,pana,s,g
Defect_short_793,I83.net23,I83.net12,I83.I32.I8.ptrans38,pana,d,g
Defect_short_794,I83.net23,I83.net12,I83.I32.I7.ptrans38,pana,g,d
Defect_short_795,I83.net23,I83.I32.net13,I83.I32.I8.ntrans35,nana,d,g
Defect_short_796,I83.net23,I83.I32.net13,I83.I32.I8.ptrans37,pana,d,g
Defect_short_797,I83.net23,I83.I32.net18,I83.I32.I105.ntrans35,nana,g,d
Defect_short_798,I83.net23,I83.I32.net18,I83.I32.I105.ptrans37,pana,g,d
Defect_short_799,I83.net23,I83.I32.I8.net25,I83.I32.I8.ntrans35,nana,d,s
Defect_short_800,I83.net23,I83.I32.I7.net25,I83.I32.I7.ntrans36,nana,g,d
Defect_short_801,I83.net23,I83.I32.I105.net25,I83.I32.I105.ntrans35,nana,g,s
Defect_short_802,I83.net12,I83.I32.net14,I83.I32.I7.ntrans35,nana,d,g
Defect_short_803,I83.net12,I83.I32.net14,I83.I32.I7.ptrans37,pana,d,g
Defect_short_804,I83.net12,I83.I32.net17,I83.I32.I3.ntrans35,nana,g,d
Defect_short_805,I83.net12,I83.I32.net17,I83.I32.I3.ptrans37,pana,g,d
Defect_short_806,I83.net12,I83.I32.I8.net25,I83.I32.I8.ntrans36,nana,g,d
Defect_short_807,I83.net12,I83.I32.I7.net25,I83.I32.I7.ntrans35,nana,d,s
Defect_short_808,I83.net12,I83.I32.I3.net25,I83.I32.I3.ntrans35,nana,g,s
Defect_short_809,I83.net12,I83.I7.net059,I83.I7.I106.ntrans19,nana,g,d
Defect_short_810,I83.net12,I83.I7.net059,I83.I7.I106.ptrans17,pana,g,d
Defect_short_811,I83.net12,I83.I7.net050,I83.I7.I143.ntrans11,nana,g,d
Defect_short_812,I83.net12,I83.I7.net050,I83.I7.I143.ptrans10,pana,g,d
Defect_short_813,I83.net12,I83.I7.I106.net27,I83.I7.I106.ptrans17,pana,g,s
Defect_short_814,I83.vref,I83.I7.net049,I83.I7.I82.M4,nana,d,s
Defect_short_815,I83.vref,I83.I7.net049,I83.I7.I82.M3,pana,s,d
Defect_short_816,I83.vref,I83.I7.S0,I83.I7.I82.M4,nana,d,g
Defect_short_817,I83.vref,I83.I7.S0_n,I83.I7.I82.M3,pana,s,g
Defect_short_818,I83.vref,I83.I7.net063,I83.I7.I83.M4,nana,d,s
Defect_short_819,I83.vref,I83.I7.net063,I83.I7.I83.M3,pana,s,d
Defect_short_820,I83.vref,I83.I7.S1,I83.I7.I83.M4,nana,d,g
Defect_short_821,I83.vref,I83.I7.S1_n,I83.I7.I83.M3,pana,s,g
Defect_short_822,I83.I137.net39,I83.I137.net32,I83.I137.ntrans21,nana,d,s
Defect_short_823,I83.I136.net39,I83.I136.net32,I83.I136.ntrans21,nana,d,s
Defect_short_824,I83.I11.net011,I83.I11.net017,I83.I11.M22,nana,d,g
Defect_short_825,I83.I11.net011,I83.I11.net013,I83.I11.M17,pana,d,g
Defect_short_826,I83.I11.net017,I83.I11.net022,I83.I11.M13,nana,d,g
Defect_short_827,I83.I11.net017,I83.I11.net022,I83.I11.M12,nana,g,d
Defect_short_828,I83.I11.net017,I83.I11.net012,I83.I11.M9,pana,d,g
Defect_short_829,I83.I11.net022,I83.I11.net013,I83.I11.M21,nana,g,d
Defect_short_830,I83.I11.net022,I83.I11.net018,I83.I11.M10,pana,d,g
Defect_short_831,I83.I11.net012,I83.I11.net11,I83.I11.M5,nana,d,s
Defect_short_832,I83.I11.net11,I83.I11.net018,I83.I11.M4,nana,s,d
Defect_short_833,I83.I69.net011,I83.I69.net017,I83.I69.M22,nana,d,g
Defect_short_834,I83.I69.net011,I83.I69.net013,I83.I69.M17,pana,d,g
Defect_short_835,I83.I69.net017,I83.I69.net022,I83.I69.M13,nana,d,g
Defect_short_836,I83.I69.net017,I83.I69.net022,I83.I69.M12,nana,g,d
Defect_short_837,I83.I69.net017,I83.I69.net012,I83.I69.M9,pana,d,g
Defect_short_838,I83.I69.net022,I83.I69.net013,I83.I69.M21,nana,g,d
Defect_short_839,I83.I69.net022,I83.I69.net018,I83.I69.M10,pana,d,g
Defect_short_840,I83.I69.net012,I83.I69.net11,I83.I69.M5,nana,d,s
Defect_short_841,I83.I69.net11,I83.I69.net018,I83.I69.M4,nana,s,d
Defect_short_842,I83.I62.net26,I83.I62.net41,I83.I62.ptrans24,pana,d,s
Defect_short_843,I83.I5.net26,I83.I5.net41,I83.I5.ptrans24,pana,d,s
Defect_short_844,I83.I8.net027,I83.I8.net011,I83.I8.M1,pana,d,g
Defect_short_845,I83.I8.net028,I83.I8.net011,I83.I8.M3,pana,d,g
Defect_short_846,I83.I9.net010,I83.I9.net07,I83.I9.M3,pana,g,d
Defect_short_847,I83.I32.net13,I83.I32.net11,I83.I32.I6.ntrans35,nana,d,g
Defect_short_848,I83.I32.net13,I83.I32.net11,I83.I32.I6.ptrans37,pana,d,g
Defect_short_849,I83.I32.net13,I83.I32.net7,I83.I32.I6.ptrans38,pana,d,g
Defect_short_850,I83.I32.net13,I83.I32.I8.net25,I83.I32.I8.ntrans35,nana,g,s
Defect_short_851,I83.I32.net13,I83.I32.I6.net25,I83.I32.I6.ntrans35,nana,d,s
Defect_short_852,I83.I32.net14,I83.I32.net7,I83.I32.I5.ptrans38,pana,d,g
Defect_short_853,I83.I32.net14,I83.I32.net12,I83.I32.I5.ntrans35,nana,d,g
Defect_short_854,I83.I32.net14,I83.I32.net12,I83.I32.I5.ptrans37,pana,d,g
Defect_short_855,I83.I32.net14,I83.I32.I7.net25,I83.I32.I7.ntrans35,nana,g,s
Defect_short_856,I83.I32.net14,I83.I32.I5.net25,I83.I32.I5.ntrans35,nana,d,s
Defect_short_857,I83.I32.net11,I83.I32.net12,I83.I32.I2.ptrans38,pana,d,g
Defect_short_858,I83.I32.net11,I83.I32.net12,I83.I32.I1.ptrans38,pana,g,d
Defect_short_859,I83.I32.net11,I83.I32.net17,I83.I32.I2.ntrans35,nana,d,g
Defect_short_860,I83.I32.net11,I83.I32.net17,I83.I32.I2.ptrans37,pana,d,g
Defect_short_861,I83.I32.net11,I83.I32.I6.net25,I83.I32.I6.ntrans35,nana,g,s
Defect_short_862,I83.I32.net11,I83.I32.I2.net25,I83.I32.I2.ntrans35,nana,d,s
Defect_short_863,I83.I32.net11,I83.I32.I1.net25,I83.I32.I1.ntrans36,nana,g,d
Defect_short_864,I83.I32.net7,I83.I32.I6.net25,I83.I32.I6.ntrans36,nana,g,d
Defect_short_865,I83.I32.net7,I83.I32.I5.net25,I83.I32.I5.ntrans36,nana,g,d
Defect_short_866,I83.I32.net7,I83.I32.I4.net25,I83.I32.I4.ntrans35,nana,d,s
Defect_short_867,I83.I32.net12,I83.I32.net18,I83.I32.I1.ntrans35,nana,d,g
Defect_short_868,I83.I32.net12,I83.I32.net18,I83.I32.I1.ptrans37,pana,d,g
Defect_short_869,I83.I32.net12,I83.I32.I5.net25,I83.I32.I5.ntrans35,nana,g,s
Defect_short_870,I83.I32.net12,I83.I32.I2.net25,I83.I32.I2.ntrans36,nana,g,d
Defect_short_871,I83.I32.net12,I83.I32.I1.net25,I83.I32.I1.ntrans35,nana,d,s
Defect_short_872,I83.I32.net17,I83.I32.I3.net25,I83.I32.I3.ntrans35,nana,d,s
Defect_short_873,I83.I32.net17,I83.I32.I2.net25,I83.I32.I2.ntrans35,nana,g,s
Defect_short_874,I83.I32.net18,I83.I32.I1.net25,I83.I32.I1.ntrans35,nana,g,s
Defect_short_875,I83.I32.net18,I83.I32.I105.net25,I83.I32.I105.ntrans35,nana,d,s
Defect_short_876,I83.I68.net13,I83.I68.net11,I83.I68.I6.ntrans35,nana,d,g
Defect_short_877,I83.I68.net13,I83.I68.net11,I83.I68.I6.ptrans37,pana,d,g
Defect_short_878,I83.I68.net13,I83.I68.net7,I83.I68.I6.ptrans38,pana,d,g
Defect_short_879,I83.I68.net13,I83.I68.I8.net25,I83.I68.I8.ntrans35,nana,g,s
Defect_short_880,I83.I68.net13,I83.I68.I6.net25,I83.I68.I6.ntrans35,nana,d,s
Defect_short_881,I83.I68.net14,I83.I68.net7,I83.I68.I5.ptrans38,pana,d,g
Defect_short_882,I83.I68.net14,I83.I68.net12,I83.I68.I5.ntrans35,nana,d,g
Defect_short_883,I83.I68.net14,I83.I68.net12,I83.I68.I5.ptrans37,pana,d,g
Defect_short_884,I83.I68.net14,I83.I68.I7.net25,I83.I68.I7.ntrans35,nana,g,s
Defect_short_885,I83.I68.net14,I83.I68.I5.net25,I83.I68.I5.ntrans35,nana,d,s
Defect_short_886,I83.I68.net11,I83.I68.net12,I83.I68.I2.ptrans38,pana,d,g
Defect_short_887,I83.I68.net11,I83.I68.net12,I83.I68.I1.ptrans38,pana,g,d
Defect_short_888,I83.I68.net11,I83.I68.net17,I83.I68.I2.ntrans35,nana,d,g
Defect_short_889,I83.I68.net11,I83.I68.net17,I83.I68.I2.ptrans37,pana,d,g
Defect_short_890,I83.I68.net11,I83.I68.I6.net25,I83.I68.I6.ntrans35,nana,g,s
Defect_short_891,I83.I68.net11,I83.I68.I2.net25,I83.I68.I2.ntrans35,nana,d,s
Defect_short_892,I83.I68.net11,I83.I68.I1.net25,I83.I68.I1.ntrans36,nana,g,d
Defect_short_893,I83.I68.net7,I83.I68.I6.net25,I83.I68.I6.ntrans36,nana,g,d
Defect_short_894,I83.I68.net7,I83.I68.I5.net25,I83.I68.I5.ntrans36,nana,g,d
Defect_short_895,I83.I68.net7,I83.I68.I4.net25,I83.I68.I4.ntrans35,nana,d,s
Defect_short_896,I83.I68.net12,I83.I68.net18,I83.I68.I1.ntrans35,nana,d,g
Defect_short_897,I83.I68.net12,I83.I68.net18,I83.I68.I1.ptrans37,pana,d,g
Defect_short_898,I83.I68.net12,I83.I68.I5.net25,I83.I68.I5.ntrans35,nana,g,s
Defect_short_899,I83.I68.net12,I83.I68.I2.net25,I83.I68.I2.ntrans36,nana,g,d
Defect_short_900,I83.I68.net12,I83.I68.I1.net25,I83.I68.I1.ntrans35,nana,d,s
Defect_short_901,I83.I68.net17,I83.I68.I3.net25,I83.I68.I3.ntrans35,nana,d,s
Defect_short_902,I83.I68.net17,I83.I68.I2.net25,I83.I68.I2.ntrans35,nana,g,s
Defect_short_903,I83.I68.net18,I83.I68.I1.net25,I83.I68.I1.ntrans35,nana,g,s
Defect_short_904,I83.I68.net18,I83.I68.I105.net25,I83.I68.I105.ntrans35,nana,d,s
Defect_short_905,I83.I7.net049,I83.I7.S0,I83.I7.I82.M4,nana,s,g
Defect_short_906,I83.I7.net049,I83.I7.S0_n,I83.I7.I82.M3,pana,d,g
Defect_short_907,I83.I7.net049,I83.I7.S1,I83.I7.I85.M4,nana,s,g
Defect_short_908,I83.I7.net049,I83.I7.S1_n,I83.I7.I85.M3,pana,d,g
Defect_short_909,I83.I7.net049,I83.I7.net019,I83.I7.M5,nana,g,d
Defect_short_910,I83.I7.net049,I83.I7.disable,I83.I7.M43,nana,d,g
